Quadrado mágico.
D 0.000000 ms.
T 0.000000 ms.
E 10970.533203 ms.
e 843.074219 ms.
Quadrado mágico.
R 56.424000 ms.
C 251.427002 ms.
D 0.305000 ms.
T 0.000000 ms.
E 10930.764648 ms.
e 818.884766 ms.
R 56.424000 ms.
C 251.442001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10928.165039 ms.
e 817.331055 ms.
R 56.424000 ms.
C 239.117004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10925.056641 ms.
e 801.265625 ms.
R 56.424000 ms.
C 251.285004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10924.815430 ms.
e 811.206055 ms.
Quadrado mágico.
R 56.667000 ms.
C 266.379028 ms.
D 0.364000 ms.
T 0.000000 ms.
E 10947.661133 ms.
e 809.573242 ms.
R 56.667000 ms.
C 257.546021 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10945.544922 ms.
e 812.597656 ms.
R 56.667000 ms.
C 266.617004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10943.635742 ms.
e 812.702148 ms.
R 56.667000 ms.
C 266.606995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10946.912109 ms.
e 835.062500 ms.
Quadrado mágico.
R 56.655998 ms.
C 247.893005 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10905.611328 ms.
e 809.311523 ms.
R 56.655998 ms.
C 247.826996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10908.463867 ms.
e 811.772461 ms.
R 56.655998 ms.
C 247.966995 ms.
D 0.353000 ms.
T 0.000000 ms.
E 10911.326172 ms.
e 811.571289 ms.
R 56.655998 ms.
C 247.817001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10906.733398 ms.
e 801.729492 ms.
Quadrado mágico.
R 57.203999 ms.
C 199.580994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10869.935547 ms.
R 57.203999 ms.
C 199.403000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10873.044922 ms.
R 57.203999 ms.
C 199.395004 ms.
D 0.376000 ms.
T 0.000000 ms.
E 10875.930664 ms.
e 771.200195 ms.
e 762.141602 ms.
e 769.848633 ms.
R 57.203999 ms.
C 199.334000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10870.755859 ms.
e 765.716797 ms.
Quadrado mágico.
R 56.819000 ms.
C 389.920990 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11061.704102 ms.
e 940.592773 ms.
R 56.819000 ms.
C 379.579010 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11064.834961 ms.
e 963.083984 ms.
R 56.819000 ms.
C 371.598999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11062.779297 ms.
e 957.543945 ms.
R 56.819000 ms.
C 389.796997 ms.
D 0.369000 ms.
T 0.000000 ms.
E 11067.846680 ms.
e 950.048828 ms.
Quadrado mágico.
R 56.257999 ms.
C 348.820007 ms.
D 0.305000 ms.
T 0.000000 ms.
E 11064.027344 ms.
e 924.338867 ms.
R 56.257999 ms.
C 361.594971 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11060.165039 ms.
e 927.809570 ms.
R 56.258999 ms.
C 340.874023 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11059.798828 ms.
e 931.023438 ms.
R 56.257999 ms.
C 361.666992 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11063.063477 ms.
e 931.399414 ms.
Quadrado mágico.
R 56.605999 ms.
C 196.225998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10876.867188 ms.
e 768.158203 ms.
R 56.605999 ms.
C 196.251999 ms.
D 0.308000 ms.
T 0.000000 ms.
E 10883.682617 ms.
e 768.332031 ms.
R 56.605999 ms.
C 196.095001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10881.981445 ms.
e 764.788086 ms.
R 56.605999 ms.
C 196.104004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10877.305664 ms.
e 768.892578 ms.
